date,usd,trend
16/10/2016,614.6238,20
23/10/2016,639.8275,22
30/10/2016,649.245,24
06/11/2016,696.3538,24
13/11/2016,712.2363,24
20/11/2016,702.5038,24
27/11/2016,728.6075,25
04/12/2016,728.425,25
11/12/2016,766.4638,24
18/12/2016,768.6213,29
25/12/2016,788.5888,33
01/01/2017,894.4825,51
08/01/2017,997.6888,41
15/01/2017,913.5238,32
22/01/2017,822.4225,30
29/01/2017,925.3313,32
05/02/2017,914.0438,33
12/02/2017,1013.9938,30
19/02/2017,999.5125,35
26/02/2017,1052.8175,43
05/03/2017,1179.968,47
12/03/2017,1277.685,40
19/03/2017,1229.505,40
26/03/2017,1017.8,35
