date,usd,trend
19/03/2017,1017.8,65
20/03/2017,1041.343,62
21/03/2017,1115.039,63
22/03/2017,1037.44,61
23/03/2017,1029.95,59
24/03/2017,935.946,62
25/03/2017,964.692,62
26/03/2017,965.229,54
27/03/2017,1040.491,55
28/03/2017,1044.251,53
29/03/2017,1040.392,55
30/03/2017,1037.527,53
31/03/2017,1079.748,53
01/04/2017,1089.511,49
02/04/2017,1098.776,52
03/04/2017,1147.631,53
04/04/2017,1143.746,53
05/04/2017,1134.998,53
06/04/2017,1190.597,52
07/04/2017,1193.019,51
08/04/2017,1184.824,51
09/04/2017,1210.055,50
10/04/2017,1213.339,54
11/04/2017,1224.767,57
12/04/2017,1216.505,55
13/04/2017,1178.533,55
14/04/2017,1183.44,50
15/04/2017,1180.699,46
16/04/2017,1184.787,50
17/04/2017,1203.731,54
18/04/2017,1217.596,55
19/04/2017,1226.939,53
20/04/2017,1255.403,51
21/04/2017,1257.135,51
22/04/2017,1244.375,50
23/04/2017,1248.2175,49
24/04/2017,1248.325,54
25/04/2017,1263.545,59
26/04/2017,1284.845,59
